modelo,threshold,precision,recall,f1
Random Forest,0.0,0.16172838803839878,1.0,0.2784271946690723
Random Forest,0.01,0.3626178608354809,0.9183964605505376,0.5199426022612939
Random Forest,0.02,0.3778834151262803,0.8637179071285357,0.525747945938773
Random Forest,0.03,0.38911805562919527,0.8605130169351088,0.5359040109005879
Random Forest,0.04,0.39597562626946514,0.8571947830641096,0.5417112285824696
Random Forest,0.05,0.4014447336272375,0.856651515092297,0.5466962318825361
Random Forest,0.06,0.40591059707086113,0.8550998792303574,0.5505015367107544
Random Forest,0.07,0.4109213439225429,0.8545996036879687,0.5549860210507771
Random Forest,0.08,0.4159618494049444,0.8536420450326156,0.5593595377413689
Random Forest,0.09,0.42068664116675625,0.8502651851214927,0.5628776754604113
Random Forest,0.1,0.43183953130430464,0.8498508944379521,0.5726799616084478
Random Forest,0.11,0.4486108920671022,0.8449263070675646,0.5860568131613174
Random Forest,0.12,0.4652343393916769,0.8377778385751528,0.5982492348839855
Random Forest,0.13,0.47053190391158145,0.8372892882407889,0.6024849960447599
Random Forest,0.14,0.47324005923568285,0.8368202799197996,0.6045780747227661
Random Forest,0.15,0.4749159276811578,0.8362105691025135,0.6057839866801871
Random Forest,0.16,0.47652203371698065,0.8356321255066267,0.606936489979081
Random Forest,0.17,0.4780769265188871,0.8351748423936621,0.6080750564039674
Random Forest,0.18,0.47995801218725487,0.8345573147710262,0.6094298964930606
Random Forest,0.19,0.4822814447854563,0.834041405617938,0.6111611508658145
Random Forest,0.2,0.4837240218419566,0.8333769771632031,0.6121390286360124
Random Forest,0.21,0.4855346857684456,0.8329079688422139,0.6134596866703891
Random Forest,0.22,0.4870594423987375,0.8323217084409773,0.614515596074557
Random Forest,0.23,0.48840176319817163,0.8318839673413873,0.6154631334673463
Random Forest,0.24,0.4900959305540197,0.8314462262417972,0.6166862098637172
Random Forest,0.25,0.4913412508725782,0.8307974313977621,0.6174920295545219
Random Forest,0.26,0.4926228443677585,0.8302111709965254,0.6183405985952865
Random Forest,0.27,0.49330974619808543,0.8294060400454938,0.618657594222925
Random Forest,0.28,0.49453091838590957,0.8287455199934339,0.619432601069408
Random Forest,0.29,0.4981142722783917,0.8279872898745012,0.6220221709880506
Random Forest,0.3,0.5007570058526015,0.8273267698224412,0.623890877480555
Random Forest,0.31,0.5057904717267634,0.8266857917837559,0.6275981164019255
Random Forest,0.32,0.5098081800390445,0.8257047827123533,0.630396056396734
Random Forest,0.33,0.5150783871164522,0.8250325374522687,0.634210826711317
Random Forest,0.34,0.5170625873354416,0.8243407501788094,0.6355072321373145
Random Forest,0.35000000000000003,0.5194564469892852,0.8236724133213997,0.6371122800178652
Random Forest,0.36,0.522094199807553,0.8228086563302444,0.6388322026814263
Random Forest,0.37,0.5248639599202597,0.8221950371102834,0.6407151341162347
Random Forest,0.38,0.526545469120679,0.8214993414341493,0.6417542691442928
Random Forest,0.39,0.5287047853057278,0.8208036457580151,0.6431420586745412
Random Forest,0.4,0.5325497700577647,0.8201040416792061,0.6457620050271129
Random Forest,0.41000000000000003,0.5468572293116581,0.8193614451709731,0.6559326673643623
Random Forest,0.42,0.5534409196594129,0.8177550916715848,0.6601231716223737
Random Forest,0.43,0.5578719827068572,0.8170242203713765,0.6630244824074438
Random Forest,0.44,0.5645952155696716,0.8163558835139667,0.6675263538391899
Random Forest,0.45,0.5719649699260287,0.8150543854232214,0.6722077168067723
Random Forest,0.46,0.5772232931816409,0.8098483930602403,0.6740291234015902
Random Forest,0.47000000000000003,0.5962080694448044,0.8090784377332828,0.6865206360298777
Random Forest,0.48,0.5973459770447253,0.8075385270793679,0.6867182163503156
Random Forest,0.49,0.5451753364155705,0.6493654708257283,0.5927265721495328
Random Forest,0.5,0.5459724556688891,0.6487401263977425,0.5929363182197072
Random Forest,0.51,0.5464863225091667,0.647755208923665,0.5928270834066516
Random Forest,0.52,0.5471258518014237,0.6470634216502058,0.5929129218972284
Random Forest,0.53,0.547507445035925,0.6459847025119304,0.5926833028631776
Random Forest,0.54,0.5481433778373821,0.6453789000973192,0.5928002799693589
Random Forest,0.55,0.5487082428310553,0.6447379220586339,0.5928596072071594
Random Forest,0.56,0.5492228151990213,0.6439601499263267,0.5928304656138371
Random Forest,0.5700000000000001,0.5496218902813778,0.6431198433512207,0.5927062564902366
Random Forest,0.58,0.5502277526950456,0.6425492165606839,0.592815623553017
Random Forest,0.59,0.5508855122086999,0.6420254906022458,0.592973893908938
Random Forest,0.6,0.5515504110454603,0.6413884209662353,0.5930866490405322
Random Forest,0.61,0.5520144115022644,0.640743534524875,0.5930786984619726
Random Forest,0.62,0.5525649850190298,0.6400673808621155,0.5931061956821586
Random Forest,0.63,0.5530823885722784,0.6395123876822781,0.5931655008284558
Random Forest,0.64,0.5536161711925238,0.6390433793612889,0.5932703070444275
Random Forest,0.65,0.5541694225387942,0.6385665542349497,0.593382048457198
Random Forest,0.66,0.5548773649349016,0.6381288131353597,0.5935983246367584
Random Forest,0.67,0.5555040982350518,0.6375816367608722,0.5937196326492004
Random Forest,0.68,0.55604412848293,0.6370735444131338,0.5938073197645122
Random Forest,0.6900000000000001,0.5566423671987942,0.6365732688707452,0.5939306199794699
Random Forest,0.7000000000000001,0.5572868331204432,0.6360339093016075,0.5940621166490087
Random Forest,0.71,0.5579790228030916,0.6354085648736219,0.5941818965444692
Random Forest,0.72,0.5586313392900133,0.6348457548884346,0.5943050536890561
Random Forest,0.73,0.5594938890900002,0.6342712196952227,0.5945405319753869
Random Forest,0.74,0.5603111361445242,0.6337435853341098,0.5947693717979653
Random Forest,0.75,0.5609290696144229,0.6330635232686753,0.5948173132744942
Random Forest,0.76,0.5618047744031996,0.6324577208540642,0.5950413222642246
Random Forest,0.77,0.562646602306659,0.6318792772581774,0.5952566360756537
Random Forest,0.78,0.5635098124727431,0.6312695664408913,0.595468253391737
Random Forest,0.79,0.5643935949184674,0.6306559472209303,0.5956877344879631
Random Forest,0.8,0.5652378213849887,0.6299954271688704,0.5958623442520444
Random Forest,0.81,0.5661914173776649,0.629221563439238,0.5960448054947417
Random Forest,0.8200000000000001,0.5671156443870731,0.6284555165149555,0.5962120312742891
Random Forest,0.8300000000000001,0.568138399490554,0.6276503855639238,0.5964134969669422
Random Forest,0.84,0.5688707091061318,0.6267162773246202,0.5963941346075227
Random Forest,0.85,0.569849185416155,0.6257118178371681,0.5964754097861747
Random Forest,0.86,0.5709376674406144,0.6246956331416913,0.5966081196345409
Random Forest,0.87,0.5721322885722077,0.623261249359999,0.5966033337635498
Random Forest,0.88,0.5735721130637155,0.6222606982752219,0.5969252226099284
Random Forest,0.89,0.5749969238341331,0.6209748337951763,0.5971020919232333
Random Forest,0.9,0.5765514131197742,0.6195912592482579,0.5972970019356795
Random Forest,0.91,0.5786045694714811,0.6180278981782935,0.5976668285112778
Random Forest,0.92,0.5808094403982668,0.6155773297011244,0.5976881946395688
Random Forest,0.93,0.5835004222171796,0.613056409975807,0.5979133868273152
Random Forest,0.9400000000000001,0.5865190920024053,0.6099492298492529,0.5980047476312617
Random Forest,0.9500000000000001,0.5895391587679978,0.6060369187716672,0.5976742123853027
Random Forest,0.96,0.593124734750569,0.6008465600193856,0.5969606774777713
Random Forest,0.97,0.5975601587157735,0.5927209908582461,0.5951307377562429
Random Forest,0.98,0.6054961894448644,0.5791236579522315,0.5920163651627606
Random Forest,0.99,0.6181501744787556,0.551104319175796,0.5827050190940316
Random Forest,1.0,0.6616670215030871,0.24293458506443003,0.3553869507524538
Logistic Regression,0.0,0.16172838803839878,1.0,0.2784271946690723
Logistic Regression,0.01,0.16384844421620598,0.993867716203065,0.2813188320417771
Logistic Regression,0.02,0.20308969466565674,0.9913428880750726,0.3371165980239894
Logistic Regression,0.03,0.26292933568832383,0.9856014445456287,0.4151175720289727
Logistic Regression,0.04,0.2883052901786743,0.9780152349536269,0.4453326949916476
Logistic Regression,0.05,0.29984784957130506,0.97743679135774,0.4589146546761461
Logistic Regression,0.06,0.3119692332828515,0.9701554371743812,0.4721204651166112
Logistic Regression,0.07,0.33815795571961754,0.9695652683704696,0.5014305825943527
Logistic Regression,0.08,0.354033909551648,0.9675876166169648,0.5183917179554804
Logistic Regression,0.09,0.3594485043076521,0.9669857226050286,0.524084141676644
Logistic Regression,0.1,0.36082594943275637,0.9514498219722581,0.5232250610815383
Logistic Regression,0.11,0.3641625243526169,0.951195775798389,0.526685169815991
Logistic Regression,0.12,0.36774378772882843,0.951191867395714,0.5304199621677624
Logistic Regression,0.13,0.37132218856580423,0.9510433480940674,0.534108743185382
Logistic Regression,0.14,0.37419391551357944,0.95093391281917,0.537055635837494
Logistic Regression,0.15,0.378291550430269,0.9508127523362477,0.5412433463264079
Logistic Regression,0.16,0.38163984337604656,0.9504414540821312,0.5446008863556838
Logistic Regression,0.17,0.38440053280307956,0.9429373209463024,0.5461542553321882
Logistic Regression,0.18,0.39233181960976526,0.9322908320598454,0.5522589517231938
Logistic Regression,0.19,0.3937705020875603,0.9322282976170468,0.553671699954763
Logistic Regression,0.2,0.3951212154362794,0.9316811212425594,0.5549085448826094
Logistic Regression,0.21,0.39936500490068777,0.9316185867997608,0.5590690430369178
Logistic Regression,0.22,0.3358473555933255,0.6726673675735464,0.4480124114830956
Logistic Regression,0.23,0.3385201832551403,0.6723117029301295,0.45030451446652076
Logistic Regression,0.24,0.34311805092893644,0.6722999777221047,0.4543513143632264
Logistic Regression,0.25,0.3791922630833888,0.6721240996017338,0.48484788674968593
Logistic Regression,0.26,0.3946921994476876,0.6719990307161366,0.4973000019780161
Logistic Regression,0.27,0.40850004039943155,0.6718387862064653,0.5080742532304807
Logistic Regression,0.28,0.41765889408357065,0.6717762517636667,0.5150803651359488
Logistic Regression,0.29,0.4369224511585932,0.6717371677369176,0.529462866389713
Logistic Regression,0.3,0.46044188918745865,0.6717176257235431,0.5463663529527586
Logistic Regression,0.31,0.4716396443873532,0.671588648435271,0.5541287480085703
Logistic Regression,0.32,0.48431566572789014,0.6714440375362993,0.5627309294342908
Logistic Regression,0.33,0.49700280047214573,0.6714323123282746,0.5711977256936145
Logistic Regression,0.34,0.4996189866790763,0.6713815030935008,0.5729031698136189
Logistic Regression,0.35000000000000003,0.5031321418107237,0.6711469989330061,0.5751198591510023
Logistic Regression,0.36,0.5128463250339791,0.6710062964367093,0.5813614075469266
Logistic Regression,0.37,0.5172897984765211,0.6709711208126351,0.5841924281195053
Logistic Regression,0.38,0.5193016318652395,0.6708812275511121,0.5854389743045383
Logistic Regression,0.39,0.5211482701562097,0.6708695023430874,0.5866061541754959
Logistic Regression,0.4,0.523113917723718,0.670842143524363,0.5878388212661345
Logistic Regression,0.41000000000000003,0.5260921809286756,0.6707835174842394,0.5896919188563238
Logistic Regression,0.42,0.5279402169229443,0.6704161276327978,0.5907084940628033
Logistic Regression,0.43,0.5301021228193811,0.6703106007605751,0.5920181707541637
Logistic Regression,0.44,0.5322245773889511,0.670271516733826,0.5933241304373372
Logistic Regression,0.45,0.5341369214477045,0.6702519747204515,0.5945028677709047
Logistic Regression,0.46,0.536222230561393,0.6701777150696282,0.5957629400081181
Logistic Regression,0.47000000000000003,0.5385888753470957,0.6701464478482289,0.5972083626718725
Logistic Regression,0.48,0.5414816545921944,0.6701269058348543,0.5989746813943939
Logistic Regression,0.49,0.5437411185546082,0.6699862033385575,0.6002980093110464
Logistic Regression,0.5,0.54575267447784,0.6699393025064586,0.6015029678119946
Logistic Regression,0.51,0.5474173725294802,0.6698689512583103,0.6024842209115379
Logistic Regression,0.52,0.5490917945908189,0.6697868748021372,0.6034636363461392
Logistic Regression,0.53,0.5510123345608928,0.6695797294603668,0.6045372581874409
Logistic Regression,0.54,0.553106503621375,0.6694742025881443,0.6057522968377199
Logistic Regression,0.55,0.554625168376334,0.6694546605747697,0.6066539044752155
Logistic Regression,0.56,0.5581984366545188,0.6692865992597485,0.6087157438492289
Logistic Regression,0.5700000000000001,0.5603161098203475,0.66922406481695,0.609946762701773
Logistic Regression,0.58,0.5618199477614879,0.6691888891928758,0.6108220435988735
Logistic Regression,0.59,0.5632398712895393,0.6690794539179783,0.611614567373917
Logistic Regression,0.6,0.5645172460417704,0.6690325530858793,0.6123472511880889
Logistic Regression,0.61,0.566223489597634,0.6689700186430808,0.6133233956210128
Logistic Regression,0.62,0.5686247798783932,0.6688801253815578,0.6146914043132475
Logistic Regression,0.63,0.5741854300191269,0.6687785069120101,0.6178825678499192
Logistic Regression,0.64,0.5757866429722971,0.6686338960130385,0.6187465639964576
Logistic Regression,0.65,0.57729484903508,0.6685283691408158,0.6195710246481327
Logistic Regression,0.66,0.5788184091809004,0.6684580178926675,0.6204170913381808
Logistic Regression,0.67,0.5807766653870587,0.668172704497399,0.6214168877405831
Logistic Regression,0.68,0.5824913185865739,0.6680554524171516,0.6223461774627863
Logistic Regression,0.6900000000000001,0.5839902412022183,0.6679851011690032,0.6231700691184201
Logistic Regression,0.7000000000000001,0.5852039138299622,0.6676098945122118,0.6236967066414443
Logistic Regression,0.71,0.5873669874330208,0.6674926424319645,0.624871711794425
Logistic Regression,0.72,0.5887234974260307,0.6673245811169434,0.6255646865651536
Logistic Regression,0.73,0.5900823817771371,0.667121344177848,0.6262414651634794
Logistic Regression,0.74,0.5916062963181312,0.6667539543264064,0.6269362644618262
Logistic Regression,0.75,0.593041899548207,0.6664295569043888,0.6275976296016108
Logistic Regression,0.76,0.5944374492070191,0.6660973426770214,0.62823050632547
Logistic Regression,0.77,0.5958719095305076,0.6655970671346327,0.6288075294383714
Logistic Regression,0.78,0.5973717287045425,0.6650029899280463,0.6293756992944938
Logistic Regression,0.79,0.5993564099943254,0.66462387486858,0.6303050520276751
Logistic Regression,0.8,0.6024593215591304,0.6640806068967674,0.6317709262396061
Logistic Regression,0.81,0.6056637420643413,0.6637093086426509,0.6333593788837516
Logistic Regression,0.8200000000000001,0.6095487058688346,0.6634591708714566,0.6353624142613892
Logistic Regression,0.8300000000000001,0.6136738711872258,0.6627204827658985,0.6372548466429352
Logistic Regression,0.84,0.6184720630215597,0.6621733063914109,0.6395770454976925
Logistic Regression,0.85,0.6208088159767569,0.6614189846751531,0.6404708063574075
Logistic Regression,0.86,0.6234264264485726,0.6608014570525172,0.6415700768107994
Logistic Regression,0.87,0.6267063151759495,0.6597930891623902,0.6428242318045109
Logistic Regression,0.88,0.6300813008130082,0.6585072246823446,0.6439807284965814
Logistic Regression,0.89,0.6332796657780727,0.656431862861967,0.6446479564704201
Logistic Regression,0.9,0.6376393058393355,0.6549896622749248,0.6461980411314695
Logistic Regression,0.91,0.6419675208283651,0.652312406442611,0.6470986214244498
Logistic Regression,0.92,0.6447626359664678,0.6466022301345663,0.6456811227175785
Logistic Regression,0.93,0.6475957839972718,0.6382890576450311,0.642908741567313
Logistic Regression,0.9400000000000001,0.6505743501413132,0.6288698071984961,0.6395379802434271
Logistic Regression,0.9500000000000001,0.6530148459418476,0.6176917755482512,0.6348623557882159
Logistic Regression,0.96,0.6578353147353965,0.6103088028953447,0.6331814780750132
Logistic Regression,0.97,0.6585963622358769,0.5881520681312754,0.6213840788516174
Logistic Regression,0.98,0.65263870158308,0.5428380475183597,0.5926959578911565
Logistic Regression,0.99,0.6385085475837933,0.4634857480096459,0.5370982643811318
Logistic Regression,1.0,0.10767543859649123,0.0019190257133811983,0.0037708462097772034
